118641708,Location,"Just off the right side of the classic French Maid and to the right of Service, a beginner friendly V0 with a variety of holds and movements. Good for warm ups.","Location`Just off the right side of the classic French Maid and to the right of Service, a beginner friendly V0 with a variety of holds and movements. Good for warm ups."
118641708,Protection,2-3 pads,Protection`2-3 pads
112413670,Description,"Stand Start face climb that follows nice horizontal crimps and good hand-foot matching. Try not to grab the tree on the top out, which is barely a little slopey/committing.","Description`Stand Start face climb that follows nice horizontal crimps and good hand-foot matching. Try not to grab the tree on the top out, which is barely a little slopey/committing."
112413670,Location,"On the Gym Boulder in the Driver Area, approximately 3-4 feet right of the large flake sticking out of the ground. Start at the horizontal flake and move up and left.","Location`On the Gym Boulder in the Driver Area, approximately 3-4 feet right of the large flake sticking out of the ground. Start at the horizontal flake and move up and left."
112413670,Protection,"1-2 pads, spotter.","Protection`1-2 pads, spotter."
121712715,Description,Starts on left-facing jug rail; moves up and right and finishes in the dihedral (shared finish with Eco-Challenge),Description`Starts on left-facing jug rail; moves up and right and finishes in the dihedral (shared finish with Eco-Challenge)
121712715,Location,Eco-Terrorism boulder; left of Eco-Challenge,Location`Eco-Terrorism boulder; left of Eco-Challenge
121712715,Protection,Pads,Protection`Pads
112410213,Description,Sit start to the right of the tree. Dyno to the large shelf and mantle up.,Description`Sit start to the right of the tree. Dyno to the large shelf and mantle up.
112410213,Protection,Pads,Protection`Pads
111418906,Description,Climb blunt arete.  Second move after start is the crux to get up on the arete.,Description`Climb blunt arete.  Second move after start is the crux to get up on the arete.
111418906,Location,"North side of big slabby Cluster boulder, far left arete to the right of the offwidth crack.","Location`North side of big slabby Cluster boulder, far left arete to the right of the offwidth crack."
111418906,Protection,pads,Protection`pads
107789250,Description,Start on the arête beside a tree using a good left hand hold and an hidden good right hand hold with a thumbcatch.  Make a big move to a jug and then move left around the corner to a good flake system.  Continue straight up on good feet and good holds to topout.  If you get scared you can rest against the tree near the transition.  Also be careful if you fall you will probably hit the tree thus fulfilling the name of the problem.,Description`Start on the arête beside a tree using a good left hand hold and an hidden good right hand hold with a thumbcatch.  Make a big move to a jug and then move left around the corner to a good flake system.  Continue straight up on good feet and good holds to topout.  If you get scared you can rest against the tree near the transition.  Also be careful if you fall you will probably hit the tree thus fulfilling the name of the problem.
107789250,Location,Right most route beside a tree and before a chimney.,Location`Right most route beside a tree and before a chimney.
107789250,Protection,pads,Protection`pads
107948796,Description,Sit start on some detached flakes and move straight up. The crux is gaining the lip. Once there move to the jugs back from the lip and throw yourself over the top. Walk off to the right.,Description`Sit start on some detached flakes and move straight up. The crux is gaining the lip. Once there move to the jugs back from the lip and throw yourself over the top. Walk off to the right.
107948796,Location,Boulder on the right just beyond the Trailside boulder. Detached flakes under a bulging arete.,Location`Boulder on the right just beyond the Trailside boulder. Detached flakes under a bulging arete.
107948796,Protection,Pads. Spotters definitely help make you feel more comfortable.,Protection`Pads. Spotters definitely help make you feel more comfortable.
116958137,Description,"A beauty of a climb on the back vertical face of the Greenway Boulder. Set up a top rope at the anchors or take a static line with you to descend safely.Start about 8ft to the right of the left-most arete (Greenway Arete) and climb directly up through jugs low, into edges higher up for the most committing moves just below the lip.","Description`A beauty of a climb on the back vertical face of the Greenway Boulder. Set up a top rope at the anchors or take a static line with you to descend safely.Start about 8ft to the right of the left-most arete (Greenway Arete) and climb directly up through jugs low, into edges higher up for the most committing moves just below the lip."
116958137,Location,Greenway Boulder,Location`Greenway Boulder
