route_id,field,value,info
112849237,Description,"A stone's throw climber's right of Fantasy. This route starts behind a detached block which you'll scamper up and behind to begin. For full credit one must start in the bowels of the abyss, but it is most customary to start on a ledge, mid-height behind the detached block. Make bouldery moves out the initial steep section to gain a nice stance at the base of the left-slanting splitter crack.It's possible to backclean your first piece of protection through the steep section to minimize rope drag. From here, figure out how to enter the crack and climb it to its end, gaining another rest stance. Finish at the top of the cliff.","Description`A stone's throw climber's right of Fantasy. This route starts behind a detached block which you'll scamper up and behind to begin. For full credit one must start in the bowels of the abyss, but it is most customary to start on a ledge, mid-height behind the detached block. Make bouldery moves out the initial steep section to gain a nice stance at the base of the left-slanting splitter crack.It's possible to backclean your first piece of protection through the steep section to minimize rope drag. From here, figure out how to enter the crack and climb it to its end, gaining another rest stance. Finish at the top of the cliff."
112849237,Protection,Standard doubles rack w/ at least a few 2' runners. Bolted anchors.,Protection`Standard doubles rack w/ at least a few 2' runners. Bolted anchors.
117735685,Description,Easy climbing leads to a thin crux from first to second bolt.  Easier climbing after.,Description`Easy climbing leads to a thin crux from first to second bolt.  Easier climbing after.
117735685,Location,See beta photo below. Starts below a ledge 8 feet up. First bolt is 15 feet up but easy to reach,Location`See beta photo below. Starts below a ledge 8 feet up. First bolt is 15 feet up but easy to reach
117735685,Protection,4 bolts to shared chain anchor with route to the left,Protection`4 bolts to shared chain anchor with route to the left
107792710,Description,The moves off the ground are very difficult to the first bolt. Climb up the corner then step left on the face. The final section is fairly steep.,Description`The moves off the ground are very difficult to the first bolt. Climb up the corner then step left on the face. The final section is fairly steep.
107792710,Location,The bolted line to the right of Satisfaction Guaranteed.,Location`The bolted line to the right of Satisfaction Guaranteed.
107792710,Protection,7 bolts plus anchor,Protection`7 bolts plus anchor
109727231,Description,"Climb the steep, slabby face past three bolts to anchors or on up to the Rainbow Ledge.  Really nice slab moves with a good rest in the middle.  You can get a thin piece of gear (I used a #3 stopper) in a horizontal before the first bolt to make you feel better making those first steep moves.  Great line!","Description`Climb the steep, slabby face past three bolts to anchors or on up to the Rainbow Ledge.  Really nice slab moves with a good rest in the middle.  You can get a thin piece of gear (I used a #3 stopper) in a horizontal before the first bolt to make you feel better making those first steep moves.  Great line!"
109727231,Location,"Starts at the base, below the Rainbow Ledge and to the left of a large left-facing corner (Wasted Route, 5.7).  Rap/lower from a two-bolt anchor.","Location`Starts at the base, below the Rainbow Ledge and to the left of a large left-facing corner (Wasted Route, 5.7).  Rap/lower from a two-bolt anchor."
