subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_lgbt,pct_lgbt,x,y,pct_dem,pct_temp_ideal,avg_daytime_temp,n_gym_10mi,n_boulder_60mi,n_route_200mi,gym_x,gym_y,gym_name,pct_temp_above_60,pct_not_poverty,pct_price_affordable,pct_cost_affordable
2501703005,25017,Massachusetts,Middlesex County,Ayer,90,0.01059945824991166,-71.57175748181123,42.56280982373964,0.6849439107216314,0.4849315068493151,61.55121150684931,1,993,286,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.8941231892592156,0.6932756586708612,0.4901639344262295
2501704615,25017,Massachusetts,Middlesex County,Bedford,28,0.00195217179111761,-71.27831431829945,42.496940103206946,0.6849439107216314,0.4849315068493151,61.55121150684931,2,985,285,-71.1110018,42.4777183,Central Rock Gym,0.5068493150684932,0.9272118803597573,0.09715525554484084,0.18755020080321283
2501705070,25017,Massachusetts,Middlesex County,Belmont,164,0.00607205005738826,-71.17955098768168,42.396003171933714,0.6849439107216314,0.4849315068493151,61.55121150684931,12,964,283,-71.1398849,42.39077229999999,Central Rock Gym,0.5068493150684932,0.9493131918989967,0.056958220619176436,0.1118196310635391
2501705805,25017,Massachusetts,Middlesex County,Billerica,788,0.01889688249400478,-71.26726032161638,42.55867823826523,0.6849439107216314,0.4849315068493151,61.55121150684931,1,968,285,-71.1110018,42.4777183,Central Rock Gym,0.5068493150684932,0.9366426858513189,0.36375531566895647,0.3890439637124913
2501707350,25017,Massachusetts,Middlesex County,Boxborough,64,0.01170446232626188,-71.5177948909246,42.48837053929903,0.6849439107216314,0.4849315068493151,61.55121150684931,1,1010,286,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.9392831016825165,0.205503512880562,0.22394136807817588
2501709840,25017,Massachusetts,Middlesex County,Burlington,138,0.00526255577165084,-71.20267750754829,42.50217509122915,0.6849439107216314,0.4849315068493151,61.55121150684931,8,981,285,-71.1110018,42.4777183,Central Rock Gym,0.5068493150684932,0.9162185867368341,0.1478469537395014,0.23773416592328278
2501711000,25017,Massachusetts,Middlesex County,Cambridge,2246,0.0190671850858278,-71.11848862499716,42.375864553644405,0.6849439107216314,0.4849315068493151,61.55121150684931,13,967,280,-71.1202447,42.3732347,Central Rock Gym,0.5068493150684932,0.855153912762959,0.09462854408422061,0.2926078028747433
2501711525,25017,Massachusetts,Middlesex County,Carlisle,24,0.0046074102514878,-71.35127685823765,42.53001327297971,0.6849439107216314,0.4849315068493151,61.55121150684931,1,1001,285,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.958725283163755,0.042487684729063946,0.04849660523763322
2501713135,25017,Massachusetts,Middlesex County,Chelmsford,48,0.00132523467697404,-71.363126326078,42.59997549014103,0.6849439107216314,0.4849315068493151,61.55121150684931,1,989,285,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.9351739370513529,0.38720598717034926,0.33516905737704916
2501715060,25017,Massachusetts,Middlesex County,Concord,64,0.00351146713486228,-71.3638779804321,42.46195593986454,0.6849439107216314,0.4849315068493151,61.55121150684931,1,999,285,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.9567650609020081,0.08166632295318621,0.10097719869706845
2501717475,25017,Massachusetts,Middlesex County,Dracut,252,0.00778835455556928,-71.30099581658936,42.683224469470254,0.6849439107216314,0.4849315068493151,61.55121150684931,1,986,285,-71.4598092,42.7545091,Vertical Dreams,0.5068493150684932,0.9066015576709111,0.587147432586011,0.5647058823529412
2501721990,25017,Massachusetts,Middlesex County,Everett,530,0.01076448127386464,-71.05447172983808,42.40639600434883,0.6849439107216314,0.4849315068493151,61.55121150684931,12,959,277,-71.0670987,42.4076479,MetroRock Climbing Center,0.5068493150684932,0.7461004143309773,0.30456852791878175,0.42114310270734856
2501724960,25017,Massachusetts,Middlesex County,Framingham,488,0.00677655423326342,-71.43676088891274,42.30854328138171,0.6849439107216314,0.4849315068493151,61.55121150684931,1,1038,286,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.8447085942815881,0.2969612341246094,0.351957930322096
2501727480,25017,Massachusetts,Middlesex County,Groton,48,0.00426098535286284,-71.56142410360572,42.613684826192326,0.6849439107216314,0.4849315068493151,61.55121150684931,1,989,285,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.9200177541056369,0.2452715070164735,0.19590770570309102
2501730700,25017,Massachusetts,Middlesex County,Holliston,242,0.01617214648489708,-71.44501107266255,42.19774240486269,0.6849439107216314,0.4849315068493151,61.55121150684931,1,922,284,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.9330392943063353,0.27369064601589566,0.2223955084217093
2501731540,25017,Massachusetts,Middlesex County,Hudson,106,0.00531088731900394,-71.54648103533168,42.38868115155651,0.6849439107216314,0.4849315068493151,61.55121150684931,1,1037,286,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.9175309384237688,0.557076101468625,0.46303191489361706
2501735215,25017,Massachusetts,Middlesex County,Lexington,182,0.00533959219598062,-71.23070362804062,42.4456420870095,0.6849439107216314,0.4849315068493151,61.55121150684931,10,976,285,-71.1986579,42.3695289,Central Rock Gym,0.5068493150684932,0.9449317881766173,0.053710742148429635,0.0807554542494302
2501735425,25017,Massachusetts,Middlesex County,Lincoln,30,0.00431903253671176,-71.30863629546802,42.42664527713767,0.6849439107216314,0.4849315068493151,61.55121150684931,4,986,285,-71.1986579,42.3695289,Central Rock Gym,0.5068493150684932,0.9199539303196084,0.09892086330935257,0.04152249134948083
2501737000,25017,Massachusetts,Middlesex County,Lowell,952,0.0082927551633725,-71.32171248087802,42.63888145679609,0.6849439107216314,0.4849315068493151,61.55121150684931,1,976,285,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.7614264932621364,0.7310991957104558,0.6064386017328952
2501737875,25017,Massachusetts,Middlesex County,Malden,1228,0.01874551588331374,-71.0576136761653,42.43047805006644,0.6849439107216314,0.4849315068493151,61.55121150684931,12,958,281,-71.07333779999999,42.42669679999999,"Rock Spot Climbing: Malden, MA",0.5068493150684932,0.8048817719702636,0.30939476061427285,0.4251293220800436
2501738715,25017,Massachusetts,Middlesex County,Marlborough,358,0.00864776076138942,-71.54681410728848,42.34940410370895,0.6849439107216314,0.4849315068493151,61.55121150684931,1,1037,286,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.8467075704140297,0.5356073567151411,0.4651663081251034
