hex,rank,emoji,year,category,subcategory,name,source
\x{1F410},366,🐐,2015,Animals & Nature,animal-mammal,goat,2021
\x{1F369},367,🍩,2010,Food & Drink,food-sweet,doughnut,2021
\x{1F981},368,🦁,2015,Animals & Nature,animal-mammal,lion,2021
\x{1F646},369,🙆,2010,People & Body,person-gesture,person gesturing OK,2021
\x{1F4DE},370,📞,2010,Objects,phone,telephone receiver,2021
\x{1F478},371,👸,2010,People & Body,person-role,princess,2021
\x{1F345},372,🍅,2010,Food & Drink,food-fruit,tomato,2021
\x{1F40D},373,🐍,2010,Animals & Nature,animal-reptile,snake,2021
\x{1F466},374,👦,2010,People & Body,person,boy,2021
\x{1F4AC},375,💬,2010,Smileys & Emotion,emotion,speech balloon,2021
\x{1F964},376,🥤,2017,Food & Drink,drink,cup with straw,2021
\x{1F3F3 FE0F 200D 1F308},377,🏳️‍🌈,2016,Flags,flag,rainbow flag,2021
\x{1F63C},378,😼,2010,Smileys & Emotion,cat-face,cat with wry smile,2021
\x{1F33E},379,🌾,2010,Animals & Nature,plant-other,sheaf of rice,2021
\x{1F9C0},380,🧀,2015,Food & Drink,food-prepared,cheese wedge,2021
\x{2601 FE0F},381,☁️,2010,Travel & Places,sky & weather,cloud,2021
\x{1F3AE},382,🎮,2010,Activities,game,video game,2021
\x{1F9E0},383,🧠,2017,People & Body,body-parts,brain,2021
\x{2614},384,☔,2010,Travel & Places,sky & weather,umbrella with rain drops,2021
\x{1F30F},385,🌏,2010,Travel & Places,place-map,globe showing Asia-Australia,2021
\x{1F6CC},386,🛌,2015,People & Body,person-resting,person in bed,2021
\x{1F51D},387,🔝,2010,Symbols,arrow,TOP arrow,2021
\x{1F309},388,🌉,2010,Travel & Places,place-other,bridge at night,2021
\x{1F91B},389,🤛,2016,People & Body,hand-fingers-closed,left-facing fist,2021
\x{1F912},390,🤒,2015,Smileys & Emotion,face-unwell,face with thermometer,2021
\x{1F457},391,👗,2010,Objects,clothing,dress,2021
\x{26AA},392,⚪,2010,Symbols,geometric,white circle,2021
\x{1F332},393,🌲,2015,Animals & Nature,plant-other,evergreen tree,2021
\x{2611 FE0F},394,☑️,2010,Symbols,other-symbol,check box with check,2021
\x{1F35C},395,🍜,2010,Food & Drink,food-asian,steaming bowl,2021
\x{1F426},396,🐦,2010,Animals & Nature,animal-bird,bird,2021
\x{1F36F},397,🍯,2010,Food & Drink,food-sweet,honey pot,2021
\x{1F46E},398,👮,2010,People & Body,person-role,police officer,2021
\x{1F3C5},399,🏅,2015,Activities,award-medal,sports medal,2021
\x{1F43C},400,🐼,2010,Animals & Nature,animal-mammal,panda,2021
\x{1F484},401,💄,2010,Objects,clothing,lipstick,2021
\x{1F47A},402,👺,2010,Smileys & Emotion,face-costume,goblin,2021
