route,location,url,avg_stars,route_type,rating,pitches,length,y,x
The Gimp,06. Red Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106858917/the-gimp,3,Sport,5.10c,1,75,35.23437,-81.27357
Do or Dive,The Amphitheater > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106777987/do-or-dive,3.1,Trad,5.10a,1,100,36.39954,-80.28241
Smooth Sailing (aka Lloyd Would Have Liked It),12. Big Arete > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108058201/smooth-sailing-aka-lloyd-would-have-liked-it,2.8,Sport,5.10a/b,1,80,36.33997,-80.48168
Blue Chock,Central Wall > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106545800/blue-chock,3.6,Trad,5.10b,1,150,36.39764,-80.28578
Born to Crimp,08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/109770639/born-to-crimp,2.7,Sport,5.10b,1,50,36.34013,-80.48401
Vermin,The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106562226/vermin,2.2,Sport,5.10b,1,NA,36.09709,-81.7719
Hyperbola,Nose Area > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105900646/hyperbola,3.7,Trad,5.10a R,4,550,35.30474,-82.79538
Gentle Ben,06. Three Bears > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106495744/gentle-ben,2.6,"Sport, TR",5.10a,1,NA,36.34011,-80.48519
Mama Bear,06. Three Bears > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106106873/mama-bear,2.5,TR,5.10b,1,30,36.34011,-80.48519
If You Bolt It They Will Come,Middle Hawksbill > Hawksbill Mtn > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107681661/if-you-bolt-it-they-will-come,2.8,Sport,5.10a,1,90,35.91263,-81.88769
Dimpsty Dumpster,The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106097230/dimpsty-dumpster,2.1,Sport,5.10,1,25,36.09709,-81.7719
Climb With A View,Little Wilson > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107199171/climb-with-a-view,2.7,Sport,5.10b,1,60,36.0885,-81.79303
Welcome to Watauga,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105888951/welcome-to-watauga,3.4,Trad,5.10c/d,2,110,36.099,-81.7815
