route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Crescent Crack,Devil Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106923851/crescent-crack,3.6,Boulder,V2,1,15,35.44977,-82.21876
Basketball Mantle,Shady Grove > Hull Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106924367/basketball-mantle,3.5,Boulder,V3,1,NA,35.4508,-82.21909
Black Slab Right,Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106700575/black-slab-right,3,Boulder,V3,1,NA,35.45016,-82.21828
Captain Aslab,Moby Dick Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106923897/captain-aslab,2.9,Boulder,V2,1,15,35.34877,-82.16269
Short Crack,Short Crack Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106923905/short-crack,2.9,Boulder,5.8- V2-,1,10,35.44986,-82.21903
Classic Overhang,Classic Overhang > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/108548398/classic-overhang,3.8,Boulder,V3,1,15,35.14451,-82.04893
Center 45,45 Degree Wall > Blowing Rock Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107074873/center-45,3.6,Boulder,V3,1,NA,36.00765,-81.83629
The Ladder,Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106615393/the-ladder,2.6,Boulder,V1,1,15,35.45016,-82.21828
Gone Missing,Trailside Boulder > Trailside Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/114186546/gone-missing,3.1,Boulder,V3,1,20,35.44919,-82.21852
Silver Platter,Silver Platter Boulder > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106652741/silver-platter,3.9,Boulder,V2,1,NA,35.44897,-82.2143
Oh-V1-Kenobi,Masterlock Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108526195/oh-v1-kenobi,2.8,Boulder,V1,1,NA,36.39718,-80.28724
Homer,Bart Simpson Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106286589/homer,2.4,Boulder,V2+,1,10,35.45044,-82.21996
V3PO,V3PO Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108182992/v3po,2.7,Boulder,V3+,1,10,36.39713,-80.28719
Classic Overhang,Classic Overhang Boulder > Classics Patio > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107726854/classic-overhang,3,Boulder,V2,1,20,35.17503,-81.36209
Snake Jam,Snake Jam Boulder > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107726919/snake-jam,2.9,Boulder,V3,1,15,35.1758,-81.36001
Classic Overhang Direct,Classic Overhang Boulder > Classics Patio > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107704884/classic-overhang-direct,3.3,Boulder,V3,1,20,35.17503,-81.36209
Shadow Figures,Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106615353/shadow-figures,2.4,Boulder,V1,1,15,35.45016,-82.21828
Marge,Bart Simpson Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106924011/marge,2.5,Boulder,V1,1,10,35.45044,-82.21996
The Helicopter,Washing Machine Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106968874/the-helicopter,3.1,Boulder,V2,1,10,35.34877,-82.16269
Cave Rave,Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106615401/cave-rave,2.4,Boulder,V2,1,20,35.45016,-82.21828
Heretic,Hound Ears > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/111787452/heretic,4,Boulder,V3,1,18,35.6037,-79.2773
Galvatron,Decepticon Boulder > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107754953/galvatron,3.5,Boulder,V3,1,20,35.17608,-81.35995
The Good Life,Gateway Boulders > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/113830075/the-good-life,3.4,Boulder,V3,1,12,35.44965,-82.21805
Shotgun Betty,Warmup Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/118568679/shotgun-betty,3.5,Boulder,V0,1,8,36.40123,-80.28552
2+2=5,George Orwell Boulder > Classics Patio > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107774794/225,3,Boulder,V3,1,12,35.17485,-81.36198
Bart,Bart Simpson Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106924032/bart,2.5,Boulder,V1,1,10,35.45044,-82.21996
R2-V2,R2V2 Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/109916014/r2-v2,2.6,Boulder,V2,1,12,36.39719,-80.28731
